Date,Subject,Filename
2025-08-03,It’s Trump's economy now,2025-08-03_153540_email.html
2025-08-02,The fraudster behind California secession,2025-08-02_151600_email.html
2025-08-02,The new master of the Senate,2025-08-02_145348_email.html
2025-08-01,Why Trump’s newly announced tariffsaren’t a done deal,2025-08-01_223118_email.html
2025-08-01,Can you ever trust a jobs report again?,2025-08-01_215605_email.html
2025-08-01,A wind and solar tax mystery solved,2025-08-01_203104_email.html
2025-08-01,She wants Zohran’s seat,2025-08-01_195511_email.html
2025-08-01,A wobbly jobs report shakes Trump’s economy,2025-08-01_174530_email.html
2025-08-01,Trump’s favorite drug price approach is back,2025-08-01_160251_email.html
2025-08-01,Transgender Women Banned from Women’s Olympic Sports,2025-08-01_150227_email.html
2025-08-01,Trump’s top brass turnover hits HHS,2025-08-01_140058_email.html
2025-08-01,Cash flows to Porter and dries up for Kounalakis,2025-08-01_130047_email.html
2025-08-01,Biden sounds the alarm in Chicago,2025-08-01_122256_email.html
2025-08-01,Pressley’s message from Meixco,2025-08-01_112515_email.html
2025-08-01,Adams’ registration reverie,2025-08-01_110137_email.html
2025-08-01,Republicans’ summer shindig,2025-08-01_110122_email.html
2025-08-01,A tale of two swing districts,2025-08-01_105927_email.html
2025-08-01,Tariff man’s moment,2025-08-01_100809_email.html
2025-08-01,"Liberation Day, Part III",2025-08-01_100644_email.html
2025-08-01,"It’s down to Trump, Schumer and Thune",2025-08-01_085105_email.html
